=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
DELIMITER                	$              	75	27
IDENTIFIER               	bl0            	76	2
ASSIGN                   	=              	76	6
BOOL_LITERAL             	True           	76	8
NOT_EQUAL                	!=             	76	13
BOOL_LITERAL             	False          	76	16
DELIMITER                	$              	76	21
LET                      	let            	77	2
BOOL                     	bool           	77	6
IDENTIFIER               	bl1            	77	11
ASSIGN                   	=              	77	15
IDENTIFIER               	f              	77	17
GREATER_EQUAL            	>=             	77	19
IDENTIFIER               	fl1            	77	22
OR                       	~              	77	26
BOOL_LITERAL             	False          	77	28
AND                      	@              	77	34
NOT                      	Σ              	77	36
LEFT_PAREN               	є              	77	38
IDENTIFIER               	func1          	77	40
LEFT_PAREN               	є              	77	46
RIGHT_PAREN              	э              	77	49
GREATER                  	>              	77	52
INT_LITERAL              	56             	77	54
RIGHT_PAREN              	э              	77	57
DELIMITER                	$              	77	59
LOOP                     	loop           	79	9
LET                      	let            	80	13
INT                      	int            	80	17
IDENTIFIER               	_i_            	80	21
DELIMITER                	$              	80	24
FOR                      	for            	81	13
IDENTIFIER               	_i_            	81	17
ASSIGN                   	=              	81	20
INT_LITERAL              	0              	81	22
DELIMITER                	$              	81	23
STEP                     	step           	81	25
INT_LITERAL              	1              	81	30
TO                       	to             	81	32
INT_LITERAL              	10             	81	35
DO                       	do             	81	38
LEFT_BLOCK               	¿              	81	42
OUTPUT                   	output         	81	44
IDENTIFIER               	_i_            	81	52
DELIMITER                	$              	81	57
RIGHT_BLOCK              	?              	81	59
EXIT                     	exit           	82	9
WHEN                     	when           	82	14
LEFT_PAREN               	є              	82	19
IDENTIFIER               	f              	82	21
INCREMENT                	++             	82	22
GREATER                  	>              	82	24
FLOAT_LITERAL            	12.2           	82	25
AND                      	@              	82	30
NOT                      	Σ              	82	32
LEFT_PAREN               	є              	82	34
INT_LITERAL              	12             	82	35
GREATER                  	>              	82	37
LEFT_PAREN               	є              	82	39
INT_LITERAL              	34             	82	41
PLUS_OPERATOR            	+              	82	43
INT_LITERAL              	35             	82	44
RIGHT_PAREN              	э              	82	47
RIGHT_PAREN              	э              	82	48
RIGHT_PAREN              	э              	82	51
DELIMITER                	$              	82	53
UNKNOWN                  	end            	83	2
LOOP                     	loop           	83	6
DELIMITER                	$              	83	10
RETURN                   	return         	85	2
DELIMITER                	$              	85	8
RIGHT_BLOCK              	?              	86	2
----------------------------------------------------------
=== FIN DEL ANÁLISIS ===
✓ Sin errores léxicos
